1226,822,-690
1245,800,-701
1242,827,-706
1203,846,-692
1228,851,-701
1233,841,-682
1233,862,-695
1233,860,-690
1226,841,-685
1237,843,-701
1226,851,-695
1226,855,-695
1222,822,-695
1226,860,-708
1220,846,-701
1217,857,-677
1226,862,-692
1233,860,-685
1226,857,-692
1220,835,-703
1231,843,-697
1231,848,-690
1217,841,-692
1226,851,-692
1222,846,-692
1226,846,-697
1226,851,-695
1226,843,-682
1220,848,-677
1215,841,-690
1231,776,-751
1330,686,-775
1343,588,-822
1368,545,-811
1363,510,-836
1402,501,-801
1411,408,-846
1428,271,-862
1496,151,-846
1507,48,-830
1485,-97,-820
1537,-137,-751
1560,-113,-732
1600,-153,-671
1593,-186,-663
1625,-170,-666
1661,-97,-628
1698,-146,-547
1687,-225,-512
1586,-303,-587
1490,-471,-552
1498,-512,-481
1605,-498,-370
1698,-327,-382
1771,-218,-356
1818,-156,-240
1833,-83,-190
1850,-28,-230
1856,-2,-256
1858,183,-358
1836,317,-398
1807,420,-427
1751,507,-478
1698,628,-493
1611,753,-497
1526,878,-467
1425,996,-427
1350,1045,-410
1271,1042,-427
1233,1085,-443
1222,1107,-425
1113,1131,-417
930,1188,-320
716,1186,-322
558,1161,-320
410,1120,-253
263,1061,-213
205,1015,-190
120,968,-223
72,920,-266
38,865,-293
-18,811,-242
-72,778,-31
-72,727,15
-128,675,20
-160,637,7
-157,607,43
-180,591,-7
-207,553,15
-221,526,-142
-213,463,-330
-227,380,-280
-232,290,-320
-243,88,-192
-258,-113,-147
-198,-197,-166
-165,-297,-203
-101,-396,-237
-18,-537,-197
97,-621,-200
207,-697,-182
331,-772,-128
385,-808,-26
500,-838,-76
565,-835,-137
637,-855,-203
713,-857,-221
810,-871,-227
866,-851,-245
945,-855,-258
1001,-830,-258
1060,-813,-303
1118,-790,-311
1166,-767,-290
1206,-765,-242
1363,-688,-245
1487,-635,-203
1535,-572,-223
1593,-487,-280
1661,-363,-346
1773,-195,-348
1802,-105,-317
1830,-16,-303
1850,72,-296
1903,222,-187
1875,301,-261
1816,380,-301
1830,433,-308
1813,475,-327
1811,521,-325
1788,537,-362
1762,635,-348
1690,735,-335
1575,890,-403
1440,968,-425
1338,1058,-401
1298,1115,-343
1220,1128,-320
1113,1158,-343
992,1177,-332
936,1210,-311
855,1216,-322
761,1221,-313
727,1205,-317
761,1216,-322
795,1210,-306
835,1216,-296
925,1218,-285
1026,1210,-275
1102,1191,-253
1197,1158,-251
1220,1161,-227
1276,1112,-242
1338,1101,-227
1400,1082,-232
1473,996,-275
1616,846,-327
1740,721,-327
1751,672,-348
1830,501,-306
1870,366,-277
1886,230,-248
1822,-118,-203
1762,-290,-128
1732,-352,-137
1665,-447,-163
1523,-598,-223
1433,-626,-282
1478,-621,-272
1397,-665,-258
1375,-697,-223
1355,-707,-253
1231,-756,-245
1138,-825,-253
1040,-835,-232
981,-851,-200
787,-857,-227
601,-835,-208
488,-813,-227
351,-772,-242
270,-718,-235
210,-721,-221
171,-675,-211
61,-580,-237
38,-558,-232
-27,-482,-285
-33,-450,-370
-151,-327,-303
-238,-148,-266
-306,72,-230
-306,311,-218
-272,382,-195
-255,498,-140
-216,566,-182
-131,746,-256
-38,835,-303
67,950,-287
193,998,-332
261,1066,-330
360,1117,-335
495,1158,-365
646,1193,-351
702,1188,-420
855,1207,-407
956,1180,-407
1065,1153,-412
1186,1140,-393
1278,1112,-393
1363,1047,-382
1420,1003,-375
1476,968,-346
1543,943,-338
1580,908,-306
1692,776,-358
1766,596,-332
1796,471,-327
1841,297,-343
1861,176,-320
1856,77,-280
1836,28,-261
1822,-91,-256
1748,-273,-230
1653,-422,-223
1608,-503,-213
1490,-610,-237
1445,-635,-256
1510,-570,-266
1627,-466,-240
1726,-350,-253
1807,-153,-221
1861,40,-306
1838,276,-348
1833,482,-311
1706,772,-280
1591,908,-251
1631,855,-216
1633,857,-152
1667,865,-38
1642,862,31
1636,865,92
1616,835,168
1620,802,235
1622,756,317
1638,642,382
1642,612,427
1625,493,507
1633,447,526
1620,387,590
1633,330,616
1608,273,602
1642,260,571
1672,241,583
1627,227,602
1647,235,595
1678,116,550
1728,35,446
1755,-18,358
1807,-48,242
1875,95,81
1861,28,-73
1870,-2,-187
1830,-45,-277
1802,-65,-348
1773,-45,-510
1710,-7,-587
1667,-95,-673
1602,-130,-682
1602,-95,-716
1597,-40,-766
1605,70,-793
1608,111,-796
1653,181,-740
1743,317,-605
1732,450,-607
1670,547,-637
1636,545,-692
1611,621,-687
1555,637,-748
1442,716,-772
1420,841,-682
1447,922,-542
1518,952,-386
1575,950,-287
1593,930,-195
1620,897,-105
1672,855,-26
1661,830,-5
1701,811,12
1721,778,86
1723,713,155
1755,665,171
1746,648,166
1768,688,100
1766,713,-178
1647,721,-460
1591,656,-680
1526,526,-803
1481,382,-915
1447,371,-907
1526,313,-851
1616,262,-777
1591,186,-832
1546,35,-820
1442,-363,-697
1433,-510,-533
1420,-596,-403
1428,-635,-266
1473,-632,-158
1485,-616,-86
1543,-575,-15
1555,-550,0
1591,-507,-36
1602,-521,-28
1672,-341,150
1678,-222,365
1723,75,415
1735,218,427
1740,352,401
1748,406,353
1782,431,282
1816,401,248
1836,403,187
1867,380,86
1850,382,95
1852,412,0
1875,431,-100
1867,463,-185
1856,477,-223
1838,493,-298
1800,556,-365
1807,545,-372
1800,547,-372
1811,521,-362
1813,563,-325
1768,640,-325
1746,707,-370
1690,665,-515
1636,686,-590
1591,677,-685
1526,640,-751
1492,570,-811
1467,493,-860
1442,450,-907
1467,303,-926
1470,211,-933
1413,116,-946
1366,-12,-962
1408,-208,-907
1428,-306,-811
1440,-380,-730
1386,-477,-635
1372,-550,-521
1346,-618,-433
1388,-632,-433
1355,-605,-483
1301,-556,-623
1211,-313,-881
1242,35,-1033
1305,338,-1010
1332,468,-971
1343,582,-936
1293,727,-896
1310,767,-851
1327,811,-808
1375,778,-791
1391,792,-772
1386,843,-746
1436,873,-652
1543,892,-505
1568,903,-452
1611,848,-436
1642,816,-372
1667,783,-375
1681,751,-356
1690,751,-388
1710,730,-393
1726,723,-388
1706,716,-382
1721,713,-407
1721,716,-393
1737,707,-407
1717,713,-382
1721,718,-410
1728,716,-398
1726,730,-372
1698,718,-375
1717,695,-391
1715,705,-388
1728,707,-382
1712,713,-372
1703,700,-391
1712,705,-377
1706,705,-380
1706,688,-380
1723,711,-375
1710,683,-393
1723,713,-375
1717,695,-362
1743,695,-370
1717,700,-391
1715,705,-365
1735,700,-375
1748,707,-375
1732,686,-388
1712,688,-370
1737,683,-372
1728,697,-372
1735,697,-365
1728,691,-370
1735,683,-365
1746,686,-372
1732,691,-375
1728,697,-372
1726,686,-380
1735,688,-386
1748,667,-365
1735,672,-372
1723,691,-370
1740,677,-353
1751,675,-362
1751,716,-320
1681,790,-272
1647,860,-275
1555,917,-282
1490,998,-308
1391,1058,-332
1366,1082,-367
1332,1101,-377
1341,1066,-415
1323,1047,-510
1321,941,-647
1355,871,-697
1285,846,-791
1282,822,-808
1290,770,-848
1327,711,-883
1316,653,-901
1298,618,-946
1293,558,-957
1298,445,-1002
1305,238,-1036
1276,35,-1000
1276,-165,-931
1307,-366,-753
1377,-517,-587
1323,-610,-500
1256,-697,-391
1245,-713,-391
1228,-702,-382
1183,-642,-560
1096,-396,-901
1042,21,-1087
1118,431,-1073
1183,637,-976
1228,721,-926
1265,762,-877
1310,776,-851
1355,813,-772
1476,811,-680
1465,846,-626
1383,1003,-460
1310,1110,-320
1228,1156,-256
1206,1161,-182
1163,1186,-78
1188,1158,71
1228,1128,171
1260,1101,173
1290,1050,275
1278,987,412
1285,890,500
1278,797,602
1271,746,663
1276,700,697
1296,632,703
1341,433,772
1363,222,798
1323,-53,806
1293,-208,777
1285,-257,732
1211,-355,727
1206,-425,673
1220,-496,616
1222,-635,427
1251,-688,282
1237,-727,116
1253,-740,31
1282,-723,-92
1298,-718,-158
1318,-697,-248
1276,-665,-370
1290,-637,-422
1321,-593,-533
1273,-531,-645
1287,-463,-713
1301,-333,-825
1233,-206,-936
1242,-107,-971
1211,140,-1033
1186,398,-1036
1158,642,-978
1161,783,-893
1161,911,-770
1161,968,-708
1233,1015,-595
1226,1098,-457
1208,1147,-303
1197,1166,-266
1197,1163,-311
1192,1158,-343
1175,1123,-415
1121,1098,-505
1116,1091,-545
1031,1066,-621
918,1052,-711
803,1050,-668
756,1091,-637
688,1080,-632
590,1087,-600
562,1082,-573
536,1107,-517
528,1112,-436
468,1115,-372
393,1128,-282
387,1110,-230
398,1137,-163
396,1145,-110
385,1123,-88
450,1161,47
511,1142,147
570,1123,248
666,1126,327
716,1117,356
783,1091,410
821,1082,433
851,1071,457
896,1055,467
941,1050,460
927,1085,431
983,1068,446
990,1058,452
990,1082,425
986,1098,375
956,1101,410
992,1077,420
1093,1110,338
1195,1098,161
1271,1137,47
1248,1145,-65
1222,1163,-140
1170,1156,-240
1110,1161,-335
